id,title,description,created_at
1,Full Stack Development,Description for Full Stack Development,2024-10-14T19:56:47.792319
2,Data Science,Description for Data Science,2024-10-14T19:56:47.792319
3,Machine Learning,Description for Machine Learning,2024-10-14T19:56:47.792319
4,Cybersecurity,Description for Cybersecurity,2024-10-14T19:56:47.792319
5,Cloud Computing,Description for Cloud Computing,2024-10-14T19:56:47.792319
6,Mobile App Development,Description for Mobile App Development,2024-10-14T19:56:47.792319
7,DevOps,Description for DevOps,2024-10-14T19:56:47.792319
8,Web Development,Description for Web Development,2024-10-14T19:56:47.792319
9,Game Development,Description for Game Development,2024-10-14T19:56:47.792319
10,Digital Marketing,Description for Digital Marketing,2024-10-14T19:56:47.792319
11,Blockchain Technology,Description for Blockchain Technology,2024-10-14T19:56:47.792319
12,Artificial Intelligence,Description for Artificial Intelligence,2024-10-14T19:56:47.792319
13,UI/UX Design,Description for UI/UX Design,2024-10-14T19:56:47.792319
14,IT Support,Description for IT Support,2024-10-14T19:56:47.792319
15,Project Management,Description for Project Management,2024-10-14T19:56:47.792319
16,Sales Skills,Description for Sales Skills,2024-10-14T19:56:47.792319
17,Business Analysis,Description for Business Analysis,2024-10-14T19:56:47.792319
18,Human Resources,Description for Human Resources,2024-10-14T19:56:47.792319
19,Finance Basics,Description for Finance Basics,2024-10-14T19:56:47.792319
20,Content Creation,Description for Content Creation,2024-10-14T19:56:47.792319
