id,title,description,created_at
1,Full Stack Development,Description for Full Stack Development,2024-10-14T17:16:57.617888
2,Data Science,Description for Data Science,2024-10-14T17:16:57.617888
3,Machine Learning,Description for Machine Learning,2024-10-14T17:16:57.617888
4,Cybersecurity,Description for Cybersecurity,2024-10-14T17:16:57.617888
5,Cloud Computing,Description for Cloud Computing,2024-10-14T17:16:57.617888
6,Mobile App Development,Description for Mobile App Development,2024-10-14T17:16:57.617888
7,DevOps,Description for DevOps,2024-10-14T17:16:57.617888
8,Web Development,Description for Web Development,2024-10-14T17:16:57.617888
9,Game Development,Description for Game Development,2024-10-14T17:16:57.617888
10,Digital Marketing,Description for Digital Marketing,2024-10-14T17:16:57.617888
11,Blockchain Technology,Description for Blockchain Technology,2024-10-14T17:16:57.617888
12,Artificial Intelligence,Description for Artificial Intelligence,2024-10-14T17:16:57.617888
13,UI/UX Design,Description for UI/UX Design,2024-10-14T17:16:57.617888
14,IT Support,Description for IT Support,2024-10-14T17:16:57.617888
15,Project Management,Description for Project Management,2024-10-14T17:16:57.617888
16,Sales Skills,Description for Sales Skills,2024-10-14T17:16:57.617888
17,Business Analysis,Description for Business Analysis,2024-10-14T17:16:57.617888
18,Human Resources,Description for Human Resources,2024-10-14T17:16:57.617888
19,Finance Basics,Description for Finance Basics,2024-10-14T17:16:57.617888
20,Content Creation,Description for Content Creation,2024-10-14T17:16:57.617888
